"position","web_ctr","web_ws","web_kws","mobile_ctr","mobile_ws","mobile_kws"
"1","35.07","58472","1055463","32.78","43010","1510722"
"2","17.06","50621","770509","17.73","46027","1269063"
"3","10.56","49271","723823","11.77","47215","1145511"
"4","7.16","49750","678335","8.38","49650","1058309"
"5","5.1","50507","635450","8.4","58677","1125131"
"6","3.75","51542","581297","4.85","56010","905483"
"7","2.79","52202","528717","3.39","52791","772962"
"8","2.15","52175","473814","2.49","52712","699082"
"9","1.72","52241","411490","1.86","53370","633324"
"10","1.42","50207","313029","1.43","53571","541918"
"11","1.35","45223","194465","1.19","49793","351330"
"12","1.43","40554","126346","1.07","41988","183102"
"13","1.52","37451","98164","1.06","35852","118023"
"14","1.48","35399","83664","1.1","31076","83253"
"15","1.39","33906","73742","1.14","27158","62832"
"16","1.29","32878","66802","1.22","23897","48698"
"17","1.2","32047","61039","1.35","21371","37979"
"18","1.1","31549","57511","1.5","19130","30049"
"19","1.05","30744","53893","1.56","17027","24558"
"20","0.95","30084","50758","1.59","15654","21383"
